,Rent Index
2012-09-30,574494.5064014456
2012-10-31,582605.7794599459
2012-11-30,595696.309809011
2012-12-31,605154.1414925279
2013-01-31,624208.5707355663
2013-02-28,632503.0026438537
2013-03-31,653234.3718660437
2013-04-30,668939.4579102378
2013-05-31,686309.5821302818
2013-06-30,693889.9242544313
2013-07-31,700177.409246709
2013-08-31,702627.8731021956
2013-09-30,710625.5465287385
2013-10-31,722960.1700548055
2013-11-30,734552.4245850667
2013-12-31,750340.8563648473
2014-01-31,750323.7079243911
2014-02-28,764481.4460608232
2014-03-31,764790.7568353331
2014-04-30,771113.205760115
2014-05-31,769842.0938289639
2014-06-30,767628.39937621
2014-07-31,766965.2945704203
2014-08-31,770115.9823426078
2014-09-30,772913.6225255772
2014-10-31,783578.4673165961
2014-11-30,796136.1523256826
2014-12-31,802058.4877355847
2015-01-31,803737.3918799522
2015-02-28,825476.7361231735
2015-03-31,838009.2478626814
2015-04-30,842948.3093977962
2015-05-31,855501.5475421938
2015-06-30,863685.2878003363
2015-07-31,860994.8280341381
2015-08-31,876358.5124896738
2015-09-30,889561.3001767719
2015-10-31,892585.7533502773
2015-11-30,898362.1763134111
2015-12-31,917834.5449277806
2016-01-31,930820.9679778618
2016-02-29,936416.015246657
2016-03-31,930078.3261667634
2016-04-30,943128.9286667084
2016-05-31,945209.4175657808
2016-06-30,940597.2737222576
2016-07-31,918838.182307678
2016-08-31,921113.6690207304
2016-09-30,921075.9151029278
2016-10-31,936467.2592873208
2016-11-30,941108.5116793532
2016-12-31,950870.7170848952
2017-01-31,953128.4099830184
2017-02-28,962914.0665649916
2017-03-31,970949.074196584
2017-04-30,976049.2287873972
2017-05-31,986068.4031233228
2017-06-30,991851.126303729
2017-07-31,989842.1900965878
2017-08-31,991819.1369361464
2017-09-30,1010877.2229452064
2017-10-31,1020456.1297084112
2017-11-30,1040149.5523792844
2017-12-31,1061602.9258029712
2018-01-31,1068239.9154278615
2018-02-28,1076572.8840126786
2018-03-31,1104248.1539113326
2018-04-30,1119586.0904055156
2018-05-31,1125020.6310454097
2018-06-30,1136061.0515546757
2018-07-31,1125570.3338270583
2018-08-31,1129245.5618479147
2018-09-30,1127095.2551127826
2018-10-31,1123178.9745645665
2018-11-30,1115492.705617376
2018-12-31,1101782.6756965248
2019-01-31,1101205.4384364174
2019-02-28,1109876.7440468168
2019-03-31,1105688.4436411904
2019-04-30,1112247.3868530432
2019-05-31,1118575.6077829555
2019-06-30,1107534.9653376853
2019-07-31,1100164.3014342086
2019-08-31,1094175.6496876662
2019-09-30,1093486.350465867
2019-10-31,1094749.3039318682
2019-11-30,1099578.973393761
2019-12-31,1112894.2282950738
2020-01-31,1126596.758937925
2020-02-29,1131072.2784865885
2020-03-31,1153946.8553313485
2020-04-30,1140653.6669419396
2020-05-31,1106818.7671232272
2020-06-30,1121974.0923064798
2020-07-31,1129404.752932339
2020-08-31,1138821.3073208253
2020-09-30,1144471.1781465868
2020-10-31,1160914.7331987007
2020-11-30,1167638.1583992315
2020-12-31,1170724.0073290088
2021-01-31,1181338.7249572724
2021-02-28,1204839.706328957
2021-03-31,1226660.8846444215
2021-04-30,1255272.916198754
2021-05-31,1295124.406371833
2021-06-30,1322477.650742685
2021-07-31,1337012.9630550602
2021-08-31,1334055.1814422784
2021-09-30,1336136.350036753
2021-10-31,1342540.5082563558
2021-11-30,1363229.0022523368
2021-12-31,1375907.5658039963
2022-01-31,1398634.1027371644
2022-02-28,1444588.5047155372
2022-03-31,1474941.8642488625
2022-04-30,1489954.7409961538
2022-05-31,1490537.5175235465
2022-06-30,1462965.552152427
2022-07-31,1422219.204323836
2022-08-31,1374261.8605152697
2022-09-30,1373124.471317039
2022-10-31,1368558.0011155985
2022-11-30,1348851.2081947182
